description,index,ingredients,name,time
1. Pour can of beef broth into slow cooker/ and add boneless pork ribs. Cook on High heat for 4 hours/ or until meat shreds easily. Remove meat/ and shred with two forks. It will seem that it's not working right away/ but it will.$2. Preheat oven to 350 degrees F (175 degrees C). Transfer the shredded pork to a Dutch oven or iron skillet/ and stir in barbeque sauce.$3. Bake in the preheated oven for 30 minutes/ or until heated through. ,0,1 (14 ounce) can beef broth$1 (18 ounce) bottle barbeque sauce $3 pounds boneless pork ribs$,BBQ Pork for Sandwiches,270
1. In a medium glass bowl/ prepare marinade by mixing garlic/ light olive oil/ basil/ salt/ pepper/ lemon juice and parsley. Place salmon fillets in a medium glass baking dish/ and cover with the marinade. Marinate in the refrigerator about 1 hour/ turning occasionally.$2. Preheat oven to 375 degrees F (190 degrees C).$3. Place fillets in aluminum foil/ cover with marinade/ and seal. Place sealed salmon in the glass dish/ and bake 35 to 45 minutes/ until easily flaked with a fork. ,1,1 tablespoon fresh parsley/ chopped$1 tablespoon lemon juice$1 teaspoon dried basil$1 teaspoon ground black pepper$1 teaspoon salt$2 (6 ounce) fillets salmon $2 cloves garlic/ minced$6 tablespoons light olive oil$,Baked Salmon II,45
Step 1: In a small saucepan over low heat/ combine the cornstarch/ cold water/ sugar/ soy sauce/ vinegar/ garlic/ ginger and ground black pepper. Let simmer/ stirring frequently/ until sauce thickens and bubbles.$ Step 2: Preheat oven to 425 degrees F (220 degrees C).$ Step 3: Place chicken pieces in a lightly greased 9x13 inch baking dish. Brush chicken with the sauce. Turn pieces over/ and brush again.$ Step 4Bake in the preheated oven for 30 minutes. Turn pieces over/ and bake for another 30 minutes/ until no longer pink and juices run clear. Brush with sauce every 10 minutes during cooking. ,2,1 clove garlic/ minced$1 tablespoon cold water$1 tablespoon cornstarch$12 skinless chicken thighs $½ cup soy sauce$½ cup white sugar$½ teaspoon ground ginger$¼ cup cider vinegar$¼ teaspoon ground black pepper$,Baked Teriyaki Chicken,60
1. Combine flour/ white sugar/ baking powder and salt. In a separate bowl/ mix together egg/ milk/ vegetable oil and bananas.$2. Stir flour mixture into banana mixture; batter will be slightly lumpy.$3. Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle/ using approximately 1/4 cup for each pancake. Cook until pancakes are golden brown on both sides; serve hot. ,3,1 cup all-purpose flour$1 cup milk$1 egg/ beaten$1 tablespoon white sugar$1/4 teaspoon salt$2 ripe bananas/ mashed $2 tablespoons vegetable oil$2 teaspoons baking powder$,Banana Pancakes I,10
1. Preheat an oven to 375 degrees F (190 degrees C). Prepare a baking sheet with cooking spray. Arrange the bacon on the prepared baking sheet/ and sprinkle with 2 tablespoons brown sugar. Bake in the preheated oven until the bacon is crispy and the brown sugar is caramelized/ 10 to 15 minutes. Immediately remove the bacon to a cutting board; cut into small pieces and set aside.$2. Preheat a waffle iron; grease with cooking spray.$3. Whisk the flour/ 1/2 cup brown sugar/ baking powder/ baking soda/ and salt together in a large bowl. Beat the eggs/ buttermilk/ vegetable oil/ and vanilla together in a separate bowl; fold the wet mixture into the flour mixture. Add the bacon and stir/ being careful to not over mix.$4. Ladle the batter into the preheated waffle iron and cook until golden brown; serve hot. ,4,1 tablespoon baking powder$1 teaspoon baking soda$1 teaspoon salt$1/2 cup brown sugar$1/2 teaspoon vanilla extract $2 1/2 cups buttermilk$2 tablespoons brown sugar$2/3 cup vegetable oil$3 cups flour$4 eggs$8 slices bacon$,Brown Sugar Bacon Waffles,30
1. Preheat oven to 350 degrees F (175 degrees C).$2. In a large skillet over medium heat/ saute the ground beef for 5 minutes. Add the onion and garlic/ and saute for 5 more minutes. Drain any excess fat/ if desired. Mix in the olives/ green chile peppers/ tomatoes with green chile peppers/ taco sauce and refried beans. Stir mixture thoroughly/ reduce heat to low/ and let simmer for 15 to 20 minutes.$3. Spread a thin layer of the meat mixture in the bottom of a 4 quart casserole dish. Cover with a layer of tortillas followed by more meat mixture/ then a layer of cheese. Repeat tortilla/ meat/ cheese pattern until all the tortillas are used/ topping off with a layer of meat mixture and cheese.$4. Bake for 20 to 30 minutes in the preheated oven/ or until cheese is slightly brown and bubbly. ,5,1 (10 ounce) can diced tomatoes with green chile peppers$1 (16 ounce) jar taco sauce$1 (2 ounce) can black olives/ sliced$1 (4 ounce) can diced green chili peppers$1 onion/ chopped$12 (8 inch) flour tortillas$2 (16 ounce) cans refried beans$2 pounds ground beef$2 teaspoons minced garlic$9 ounces shredded Colby cheese $,Burrito Pie,30
1. In a large bowl/ mix together flour/ salt/ baking powder and sugar; set aside. Preheat waffle iron to desired temperature.$2. In a separate bowl/ beat the eggs. Stir in the milk/ butter and vanilla. Pour the milk mixture into the flour mixture; beat until blended.$3. Ladle the batter into a preheated waffle iron. Cook the waffles until golden and crisp. Serve immediately. ,6,1 1/2 cups warm milk$1 teaspoon salt$1 teaspoon vanilla extract $1/3 cup butter/ melted$2 cups all-purpose flour$2 eggs$2 tablespoons white sugar$4 teaspoons baking powder$,Classic Waffles,15
Step 1: Bring a large pot of lightly salted water to a boil. Add linguini pasta/ and cook for 8 to 10 minutes/ or until al dente; drain.$ Step 2: Meanwhile/ place chicken and Cajun seasoning in a bowl/ and toss to coat.$ Step 3: In a large skillet over medium heat/ saute chicken in butter until no longer pink and juices run clear/ about 5 to 7 minutes. Add green and red bell peppers/ sliced mushrooms and green onions; cook for 2 to 3 minutes. Reduce heat/ and stir in heavy cream. Season the sauce with basil/ lemon pepper/ salt/ garlic powder and ground black pepper/ and heat through.$ Step 4In a large bowl/ toss linguini with sauce. Sprinkle with grated Parmesan cheese. ,7,1 green bell pepper/ chopped$1 green onion/ minced$1 ½ cups heavy cream$2 boneless/ skinless chicken breast halves/ sliced into thin strips$2 tablespoons butter$2 tablespoons grated Parmesan cheese $2 teaspoons Cajun seasoning$4 fresh mushrooms/ sliced$4 ounces linguine pasta$½ red bell pepper/ chopped$¼ teaspoon dried basil$¼ teaspoon lemon pepper$¼ teaspoon salt$⅛ teaspoon garlic powder$⅛ teaspoon ground black pepper$,Creamy Cajun Chicken Pasta,15
1. Bake biscuits according to package directions.$2. Meanwhile/ cook sausage in large skillet over medium heat 5-6 minutes or until thoroughly heated/ stirring frequently. Stir in flour. Gradually add milk; cook until mixture comes to a boil and thickens/ stirring constantly. Reduce heat to medium-low; simmer 2 minutes/ stirring constantly. Season to taste with salt and pepper.$3. Split biscuits in half. Place 2 halves on each of 8 plates; top with about 1/3 cup gravy. ,8,1 (16 ounce) can refrigerated jumbo buttermilk biscuits$1 (9.6 ounce) package Jimmy Dean(R) Original Hearty Pork Sausage Crumbles$1/4 cup flour$2 1/2 cups milk$Salt and ground black pepper to taste $,Easy Sausage Gravy and Biscuits,10
1. Combine milk with vinegar in a medium bowl and set aside for 5 minutes to sour.$2. Combine flour/ sugar/ baking powder/ baking soda/ and salt in a large mixing bowl. Whisk egg and butter into soured milk. Pour the flour mixture into the wet ingredients and whisk until lumps are gone.$3. Heat a large skillet over medium heat/ and coat with cooking spray. Pour 1/4 cupfuls of batter onto the skillet/ and cook until bubbles appear on the surface. Flip with a spatula/ and cook until browned on the other side. ,9,1 cup all-purpose flour$1 egg$1 teaspoon baking powder$1/2 teaspoon baking soda$1/2 teaspoon salt$2 tablespoons butter/ melted$2 tablespoons white sugar$2 tablespoons white vinegar$3/4 cup milk$cooking spray $,Fluffy Pancakes,10
